V - 50N,G    1.0000+00* SIGECN-MASGAM                             2350 3102
 1.5263E+04 3.3398E-01 1.5300E+04 4.1032E-01 1.5336E+04 3.2910E-012350 3102
 1.5372E+04 2.0995E-01 1.5408E+04 1.3264E-01 1.5426E+04 1.0760E-012350 3102
 1.5444E+04 8.8681E-02 1.5480E+04 6.2956E-02 1.5516E+04 4.6990E-022350 3102
 1.5552E+04 3.6505E-02 1.5588E+04 2.9280E-02 1.5659E+04 2.0259E-022350 3102
 1.5695E+04 1.7335E-02 1.5731E+04 1.5056E-02 1.5803E+04 1.1787E-022350 3102
 1.5875E+04 9.6038E-03 1.6019E+04 6.9800E-03 1.6163E+04 5.5671E-032350 3102
 1.6306E+04 4.7855E-03 1.6450E+04 4.3988E-03 1.6594E+04 4.3200E-032350 3102
 1.6738E+04 4.5580E-03 1.6809E+04 4.8275E-03 1.6881E+04 5.2353E-032350 3102
 1.6953E+04 5.8340E-03 1.7025E+04 6.7120E-03 1.7097E+04 8.0251E-032350 3102
 1.7169E+04 1.0064E-02 1.7205E+04 1.1520E-02 1.7241E+04 1.3420E-022350 3102
 1.7277E+04 1.5955E-02 1.7313E+04 1.9431E-02 1.7348E+04 2.4357E-022350 3102
 1.7384E+04 3.1620E-02 1.7402E+04 3.6593E-02 1.7420E+04 4.2858E-022350 3102
 1.7438E+04 5.0863E-02 1.7456E+04 6.1251E-02 1.7474E+04 7.4931E-022350 3102
 1.7492E+04 9.3171E-02 1.7510E+04 1.1764E-01 1.7528E+04 1.5017E-012350 3102
 1.7564E+04 2.3896E-01 1.7600E+04 2.9757E-01 1.7645E+04 2.1268E-012350 3102
 1.7691E+04 1.1538E-01 1.7713E+04 8.6181E-02 1.7736E+04 6.6007E-022350 3102
 1.7759E+04 5.1862E-02 1.7781E+04 4.1716E-02 1.7827E+04 2.8661E-022350 3102
 1.7849E+04 2.4362E-02 1.7872E+04 2.1001E-02 1.7917E+04 1.6175E-022350 3102
 1.7963E+04 1.2960E-02 1.8053E+04 9.1063E-03 1.8098E+04 7.9086E-032350 3102
 1.8144E+04 6.9998E-03 1.8234E+04 5.7476E-03 1.8325E+04 4.9645E-032350 3102
 1.8506E+04 4.1462E-03 1.8597E+04 3.9573E-03 1.8688E+04 3.8652E-032350 3102
 1.8778E+04 3.8516E-03 1.8869E+04 3.9072E-03 1.8959E+04 4.0285E-032350 3102
 1.9050E+04 4.2173E-03 1.9141E+04 4.4799E-03 1.9231E+04 4.8279E-032350 3102
 1.9322E+04 5.2794E-03 1.9413E+04 5.8615E-03 1.9503E+04 6.6138E-032350 3102
 1.9594E+04 7.5953E-03 1.9684E+04 8.8951E-03 1.9775E+04 1.0651E-022350 3102
 1.9866E+04 1.3082E-02 1.9956E+04 1.6547E-02 2.0002E+04 1.8842E-022350 3102
 2.0047E+04 2.1646E-02 2.0092E+04 2.5097E-02 2.0138E+04 2.9370E-022350 3102
 2.0183E+04 3.4670E-02 2.0228E+04 4.1218E-02 2.0273E+04 4.9182E-022350 3102
 2.0319E+04 5.8537E-02 2.0409E+04 7.8671E-02 2.0500E+04 8.8667E-022350 3102
 2.0631E+04 6.9046E-02 2.0697E+04 5.4482E-02 2.0763E+04 4.2332E-022350 3102
 2.0828E+04 3.3177E-02 2.0894E+04 2.6516E-02 2.0959E+04 2.1699E-022350 3102
 2.1025E+04 1.8195E-02 2.1156E+04 1.3733E-02 2.1288E+04 1.1325E-022350 3102
 2.1419E+04 1.0140E-02 2.1550E+04 9.8109E-03 2.1681E+04 1.0219E-022350 3102
 2.1813E+04 1.1425E-02 2.1944E+04 1.3669E-02 2.2075E+04 1.7432E-022350 3102
 2.2141E+04 2.0114E-02 2.2206E+04 2.3477E-02 2.2272E+04 2.7604E-022350 3102
 2.2338E+04 3.2475E-02 2.2469E+04 4.2941E-02 2.2600E+04 4.7964E-022350 3102
 2.2800E+04 3.6364E-02 2.2900E+04 2.8198E-02 2.3000E+04 2.1574E-022350 3102
 2.3100E+04 1.6674E-02 2.3200E+04 1.3142E-02 2.3300E+04 1.0590E-022350 3102
 2.3400E+04 8.7202E-03 2.3600E+04 6.2716E-03 2.3800E+04 4.8299E-032350 3102
 2.4000E+04 3.9494E-03 2.4200E+04 3.4179E-03 2.4400E+04 3.1376E-032350 3102
 2.4600E+04 3.0824E-03 2.4800E+04 3.2974E-03 2.5000E+04 3.9594E-032350 3102
 2.5100E+04 4.6001E-03 2.5200E+04 5.6276E-03 2.5250E+04 6.3733E-032350 3102
 2.5300E+04 7.3553E-03 2.5350E+04 8.6762E-03 2.5400E+04 1.0501E-022350 3102
 2.5450E+04 1.3109E-02 2.5500E+04 1.6990E-02 2.5525E+04 1.9670E-022350 3102
 2.5550E+04 2.3071E-02 2.5575E+04 2.7457E-02 2.5600E+04 3.3213E-022350 3102
 2.5625E+04 4.0908E-02 2.5650E+04 5.1373E-02 2.5675E+04 6.5791E-022350 3102
